Name,Cases - cumulative total,Deaths - cumulative total,TOTAL_VACCINATIONS
Sweden,2717141,24834,23231747
Switzerland,4413452,14055,16755985
Syrian Arab Republic,57423,3163,5090630
Tajikistan,17786,125,20525784
Thailand,4757473,34474,139279946
The United Kingdom,24743787,229765,151248820
Timor-Leste,23460,138,2019384
Togo,39522,290,3412326
Tokelau,80,0,6342
Tonga,16825,12,204737
Trinidad and Tobago,191496,4390,1589640
Tunisia,1153361,29423,13253317
Türkiye,17004677,101419,139694693
Turkmenistan,0,0,16775970
Turks and Caicos Islands,6630,39,73907
Tuvalu,2943,1,26783
Uganda,171843,3632,26406936
Ukraine,5520483,109918,31668577
United Arab Emirates,1067030,2349,24922054
United Republic of Tanzania,43078,846,39392419
United States of America,103436829,1127152,668882018
Uruguay,1039238,7634,9023199
Uzbekistan,174123,1016,80700978
Vanuatu,12019,14,355430
Venezuela (Bolivarian Republic of),552695,5856,37860994
Viet Nam,11623698,43206,266492149
Wallis and Futuna,3550,8,17303
Yemen,11945,2159,1287688
Zambia,349287,4069,13615707
Zimbabwe,265753,5718,13935112
